EVENT_ID_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,DISORDER_TYPE,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,CIVILIAN_TARGETING,ISO,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TAGS,TAGS_INFRASTRUCTURE
UKR176025,2024-03-11,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Sumskyi,Myropilska,Velyka Rybytsia,51.009,35.176,1,Ministry of Defence of Ukraine,Other,"On 11 March 2024, Russian forces fired MLRS at Velyka Rybytsia, Sumy. 4 private houses were damaged. No casualties.",0,,Residential
UKR152041,2024-03-10,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Donetsk,Pokrovskyi,Dobropilska,Dobropillia,48.462,37.085,1,24 Channel,National,"On 10 March 2024, Russian air forces carried out drone strikes at Dobropillia, Donetsk. Private houses were damaged. 2 civilians were killed.",2,,Residential
UKR152043,2024-03-10,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,State forces,Military Forces of Russia (2000-) 1st Donetsk Army Corps,Civilians (Ukraine),External/Other forces,State forces-External/Other forces,,804,12,Ukraine,Donetsk,Donetskyi,Donetska,Donetsk - Kirovskyi,47.968,37.548,1,DPR Armed Forces Press Service,Other,"On 10 March 2024, Ukrainian forces launched missiles at DPR positions in Donetsk - Kirovskyi. Private houses were damaged. 3 civilians were injured.",0,,Residential
UKR152044,2024-03-10,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,State forces,Military Forces of Russia (2000-) 1st Donetsk Army Corps,,External/Other forces,State forces-External/Other forces,,804,12,Ukraine,Donetsk,Donetskyi,Donetska,Donetsk - Kuibyshivskyi,48.023,37.728,1,DPR Armed Forces Press Service,Other,"On 10 March 2024, Ukrainian forces shelled DPR positions in Donetsk - Kuibyshivskyi. A private house was damaged. Casualties unknown.",0,,Residential
UKR152048,2024-03-10,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),State forces,Military Forces of Russia (2000-) 1st Donetsk Army Corps,,External/Other forces,State forces-External/Other forces,,804,12,Ukraine,Donetsk,Horlivskyi,Horlivska,Horlivka,48.313,38.042,1,DPR Armed Forces Press Service,Other,"On 10 March 2024, Ukrainian forces carried out drone strikes and shelled DPR positions in Horlivka, Donetsk. A private house was damaged. 4 civilians were injured.",0,,Residential
UKR152050,2024-03-10,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Zaporizhia,Polohivskyi,Huliaipilska,Huliaipole,47.664,36.256,1,Suspilne Media,National,"On 10 March 2024, Russian forces shelled Huliaipole, Zaporizhia. A private house was set on fire. No casualties.",0,,Residential
UKR152069,2024-03-10,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Kyiv City,Kyiv,,Kyiv,50.45,30.522,3,24 Channel,National,"On 10 March 2024, Russian air forces carried out 'Shahed-136' drone strikes at Kyiv region (coded to Kyiv). Ukrainian forces shot down Russian drones. Private houses were damaged. Casualties unknown.",0,,Residential
UKR152076,2024-03-10,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Mykolaiv,Mykolaivskyi,Mykolaivska,Mykolaiv,46.967,32.018,3,24 Channel,National,"On 10 March 2024, Russian air forces carried out 'Shahed-136' drone strikes at Mykolaiv region (coded to Mykolaiv). Ukrainian forces shot down 6 Russian drones. Private houses were damaged. Casualties unknown.",0,,Residential
UKR152077,2024-03-10,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Donetsk,Pokrovskyi,Myrnohradska,Myrnohrad,48.296,37.27,1,24 Channel,National,"On 10 March 2024, Russian air forces carried out airstrikes at Myrnohrad, Donetsk. Administrative buildings were damaged. 10 private houses were damaged. 12 civilians were injured.",0,,Residential
UKR152091,2024-03-10,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.464,30.739,3,24 Channel,National,"On 10 March 2024, Russian air forces carried out 'Shahed-136' drone strikes at Odesa region (coded to Odesa). Ukrainian forces shot down 11 Russian drones. Private houses were damaged. Casualties unknown.",0,,Residential
UKR175980,2024-03-10,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Kharkiv,Bohodukhivskyi,Bohodukhivska,Bohodukhiv,50.165,35.528,1,Ministry of Defence of Ukraine,Other,"On 10 March 2024, Russian military forces launched a modified 'S-300' missile at Bohodukhiv, Kharkiv region. As a result of shelling, several buildings were damaged. There were no casualties.",0,,Residential
UKR151898,2024-03-09,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-) 1st Donetsk Army Corps,,External/Other forces,State forces-External/Other forces,,804,12,Ukraine,Donetsk,Pokrovskyi,Ocheretynska,Betmanove,48.193,37.917,1,DPR Armed Forces Press Service,Other,"On 9 March 2024, Ukrainian air forces carried out drone strikes at DPR positions in Betmanove, Donetsk. A school was damaged. Casualties unknown.",0,,Education
